id,uniprot,gene,chrom,start,end
P11245,P11245,10,,,
P00813,P00813,100,,,
P19022,P19022,1000,,,
Q9Y243,Q9Y243,10000,,,
O75586,O75586,10001,,,
Q9Y5X4,Q9Y5X4,10002,,,
Q9Y3Q0,Q9Y3Q0,10003,,,
A6NHG4,A6NHG4,100037417,,,
Q9UQQ1,Q9UQQ1,10004,,,
Q08ET2,Q08ET2,100049587,,,
O14734,O14734,10005,,,
P46926,P46926,10007,,,
Q9Y6H6,Q9Y6H6,10008,,,
Q86T24,Q86T24,10009,,,
P22223,P22223,1001,,,
Q92844,Q92844,10010,,,
B4DET5,B4DET5,100101267,,,
Q86W11,Q86W11,100101467,,,
Q6ZMV8,Q6ZMV8,100129543,,,
O75373,O75373,100129842,,,
Q9UBN7,Q9UBN7,10013,,,
P0C264,P0C264,100130827,,,
A6NFI3,A6NFI3,100131017,,,
P0CG40,P0CG40,100131390,,,
P0DJ07,P0DJ07,100131801,,,
Q32MZ1,Q32MZ1,100132285,,,
A6NM45,A6NM45,100132463,,,
Q9H4G8,Q9H4G8,100132911,,,
P25063,P25063,100133941,,,
P0C870,P0C870,100137047,,,
P0C869,P0C869,100137049,,,
Q9UQL6,Q9UQL6,10014,,,
Q8WUM4,Q8WUM4,10015,,,
Q9HD36,Q9HD36,10017,,,
O43521,O43521,10018,,,
Q96B49,Q96B49,100188893,,,
Q9UQQ2,Q9UQQ2,10019,,,
Q9Y223,Q9Y223,10020,,,
Q9Y3Q4,Q9Y3Q4,10021,,,
Q9Y5Q6,Q9Y5Q6,10022,,,
Q92837,Q92837,10023,,,
Q9Y2X0,Q9Y2X0,10025,,,
Q92643,Q92643,10026,,,
Q02080,Q02080,100271849,,,
F5GXT2,F5GXT2,100271927,,,
A8K0Z3,A8K0Z3,100287171,,,
A6NN14,A6NN14,100287226,,,
D6RBQ6,D6RBQ6,100287327,,,
Q495V5,Q495V5,100287399,,,
D6RA61,D6RA61,100287513,,,
O14925,O14925,100287932,,,
Q86YR6,Q86YR6,100288966,,,
Q86T29,Q86T29,100289635,,,
Q6ZMS7,Q6ZMS7,100289678,,,
P33151,P33151,1003,,,
Q9Y575,Q9Y575,100302652,,,
Q6UWS5,Q6UWS5,100303755,,,
Q8TEE9,Q8TEE9,100316904,,,
Q13111,Q13111,10036,,,
Q9UGN5,Q9UGN5,10038,,,
Q9Y6F1,Q9Y6F1,10039,,,
P55285,P55285,1004,,,
Q9UGU5,Q9UGU5,10042,,,
Q13495,Q13495,10046,,,
O60676,O60676,10047,,,
O75190,O75190,10049,,,
Q9ULB5,Q9ULB5,1005,,,
Q9Y2C5,Q9Y2C5,10050,,,
Q16625,Q16625,100506658,,,
Q6UXS9,Q6UXS9,100506742,,,
Q29983,Q29983,100507436,,,
Q9NTJ3,Q9NTJ3,10051,,,
P36383,P36383,10052,,,
O60449,O60449,100526664,,,
G3V325,G3V325,100526740,,,
Q9Y3E7,Q9Y3E7,100526767,,,
Q8NBE8,Q8NBE8,100526832,,,
V9GXZ4,V9GXZ4,100526835,,,
Q6P1K2,Q6P1K2,100527963,,,
A0A096LPE2,A0A096LPE2,100528017,,,
A0A0A6YYL1,A0A0A6YYL1,100528021,,,
F8VUJ3,F8VUJ3,100528030,,,
P26718,P26718,100528032,,,
A0A0A6YYL4,A0A0A6YYL4,100529144,,,
Q13360,Q13360,100529215,,,
Q9Y6Q5,Q9Y6Q5,10053,,,
A0A087WUM3,A0A087WUM3,100532726,,,
R4GMX3,R4GMX3,100532731,,,
P41271,P41271,100532736,,,
Q96BR1,Q96BR1,100533105,,,
Q59FZ7,Q59FZ7,100533467,,,
Q9ULR0,Q9ULR0,100534599,,,
Q9UBT2,Q9UBT2,10054,,,
Q9UBE0,Q9UBE0,10055,,,
Q9NSD9,Q9NSD9,10056,,,
O15440,O15440,10057,,,
Q9NP58,Q9NP58,10058,,,
O00429,O00429,10059,,,
P55286,P55286,1006,,,
O60706,O60706,10060,,,
Q9UG63,Q9UG63,10061,,,
Q13133,Q13133,10062,,,
Q14061,Q14061,10063,,,
B4DDK6,B4DDK6,100652748,,,
O76011,O76011,100653049,,,
Q9ULB4,Q9ULB4,1007,,,
Q9NY33,Q9NY33,10072,,,
O95149,O95149,10073,,,
Q7Z6Z7,Q7Z6Z7,10075,,,
Q92729,Q92729,10076,,,
Q96QS1,Q96QS1,10077,,,
Q2NLD0,Q2NLD0,10079,,,
X5D8X5,X5D8X5,1008,,,
Q9Y625,Q9Y625,10082,,,
O60828,O60828,10084,,,
P24462,P24462,100861540,,,
Q9Y5P4,Q9Y5P4,10087,,,
Q9BTE6,Q9BTE6,100885850,,,
Q9Y2U2,Q9Y2U2,10089,,,
P55287,P55287,1009,,,
Q9Y2C2,Q9Y2C2,10090,,,
P31941,P31941,100913187,,,
O15511,O15511,10092,,,
P59998,P59998,10093,,,
O15145,O15145,10094,,,
O15143,O15143,10095,,,
B4DXW1,B4DXW1,10096,,,
P61160,P61160,10097,,,
P62079,P62079,10098,,,
O60637,O60637,10099,,,
H3BUK9,H3BUK9,100996331,,,
P50391,P50391,100996758,,,
Q96HJ9,Q96HJ9,100996928,,,
Q14C66,Q14C66,101,,,
P55289,P55289,1010,,,
B1AKP1,B1AKP1,10100,,,
P43897,P43897,10102,,,
O60635,O60635,10103,,,
P30405,P30405,10105,,,
O14595,O14595,10106,,,
A8MT65,A8MT65,101060200,,,
P04001,P04001,101060233,,,
Q9UDY6,Q9UDY6,10107,,,
Q53R19,Q53R19,10109,,,
Q9HBY8,Q9HBY8,10110,,,
Q92878,Q92878,10111,,,
O95235,O95235,10112,,,
Q9HCU5,Q9HCU5,10113,,,
Q9H422,Q9H422,10114,,,
Q9UK73,Q9UK73,10116,,,
B7Z9B1,B7Z9B1,1012,,,
P42025,P42025,10120,,,
P61163,P61163,10121,,,
P56559,P56559,10123,,,
P40617,P40617,10124,,,
O95267,O95267,10125,,,
O96015,O96015,10126,,,
O14978,O14978,10127,,,
P42704,P42704,10128,,,
P55291,P55291,1013,,,
Q15084,Q15084,10130,,,
Q53FS6,Q53FS6,10131,,,
P51572,P51572,10134,,,
P43490,P43490,10135,,,
P09093,P09093,10136,,,
Q8IY57,Q8IY57,10138,,,
Q13795,Q13795,10139,,,
O75309,O75309,1014,,,
P50616,P50616,10140,,,
Q99996,Q99996,10142,,,
Q6ZP53,Q6ZP53,10146,,,
Q8IX01,Q8IX01,10147,,,
Q8IZP9,Q8IZP9,10149,,,
Q12864,Q12864,1015,,,
Q5VZF2,Q5VZF2,10150,,,
Q9NYB9,Q9NYB9,10152,,,
Q03701,Q03701,10153,,,
O60486,O60486,10154,,,
Q13263,Q13263,10155,,,
O43374,O43374,10156,,,
Q9UDR5,Q9UDR5,10157,,,
O75787,O75787,10159,,,
Q13634,Q13634,1016,,,
Q9Y4F1,Q9Y4F1,10160,,,
P43657,P43657,10161,,,
Q6P1A2,Q6P1A2,10162,,,
Q9Y6W5,Q9Y6W5,10163,,,
Q8NCG5,Q8NCG5,10164,,,
Q9UJS0,Q9UJS0,10165,,,
Q9Y619,Q9Y619,10166,,,
P24941,P24941,1017,,,
Q9BPW9,Q9BPW9,10170,,,
Q9Y2P8,Q9Y2P8,10171,,,
Q9Y2P7,Q9Y2P7,10172,,,
Q9Y580,Q9Y580,10179,,,
Q00526,Q00526,1018,,,
P52756,P52756,10181,,,
Q07912,Q07912,10188,,,
